TransactionID,Time,Amount,MerchantID,TransactionType,Class
T1,113813,321,M15,Mobile,Normal
T2,1510,309,M28,Mobile,Normal
T3,123891,687,M25,In-Store,Normal
T4,155005,206,M37,Online,Normal
T5,100917,137,M72,Online,Normal
T6,66756,938,M85,Mobile,Normal
T7,104928,439,M9,Mobile,Normal
T8,156878,848,M35,Online,Normal
T9,116826,131,M80,Mobile,Normal
T10,47269,844,M23,Online,Normal
T11,50806,714,M55,In-Store,Normal
T12,146642,42,M68,In-Store,Normal
T13,132829,891,M55,Mobile,Normal
T14,168601,909,M25,Online,Normal
T15,152321,480,M61,In-Store,Normal
T16,166165,352,M90,Online,Normal
T17,137865,598,M73,Online,Normal
T18,94209,563,M94,Online,Normal
T19,147986,541,M60,Mobile,Normal
T20,1349,576,M15,Online,Normal
T21,54669,729,M73,In-Store,Normal
T22,82242,972,M69,Online,Normal
T23,24180,800,M63,Online,Normal
T24,29457,765,M37,Online,Normal
T25,142530,813,M79,Online,Normal
T26,164214,984,M28,Online,Normal
T27,76595,228,M78,In-Store,Normal
T28,141581,766,M96,Mobile,Normal
T29,125526,331,M30,In-Store,Normal
T30,107202,220,M2,In-Store,Normal
T31,24606,834,M46,Online,Normal
T32,3886,206,M24,Online,Normal
T33,171296,65,M53,Mobile,Normal
T34,68562,28,M11,In-Store,Normal
T35,80251,482,M8,In-Store,Normal
T36,149128,963,M79,Online,Normal
T37,24860,50,M59,Online,Normal
T38,162355,903,M29,Mobile,Normal
T39,78247,71,M79,Mobile,Normal
T40,11793,997,M68,Mobile,Normal
T41,57395,999,M56,Mobile,Normal
T42,24400,581,M15,Mobile,Normal
T43,53252,186,M15,Online,Normal
T44,62764,996,M43,Online,Normal
T45,2017,47,M73,Online,Normal
T46,132915,170,M87,Online,Normal
T47,31965,678,M62,Online,Normal
T48,88679,146,M33,Online,Normal
T49,40598,302,M7,In-Store,Normal
T50,69477,232,M73,Online,Normal
T51,161472,4903,M83,Online,Fraudulent
T52,169818,509,M63,Mobile,Normal
T53,148043,614,M96,In-Store,Normal
T54,89737,278,M79,In-Store,Normal
T55,15152,557,M11,In-Store,Normal
T56,134293,734,M63,Online,Normal
T57,156400,573,M43,In-Store,Normal
T58,37853,644,M66,In-Store,Normal
T59,142653,415,M15,Online,Normal
T60,18306,479,M14,Online,Normal
T61,82940,386,M32,Mobile,Normal
T62,168145,182,M23,Online,Fraudulent
T63,58999,411,M22,In-Store,Normal
T64,51826,425,M80,Mobile,Normal
T65,96276,190,M56,Mobile,Normal
T66,69045,981,M41,Online,Normal
T67,40306,202,M50,Mobile,Normal
T68,118507,371,M23,Mobile,Normal
T69,115180,825,M9,Online,Normal
T70,72715,8,M5,In-Store,Normal
T71,135464,746,M35,Online,Normal
T72,165700,493,M48,Online,Normal
T73,22968,849,M4,Mobile,Normal
T74,28887,965,M53,Mobile,Normal
T75,48853,994,M35,Mobile,Normal
T76,144068,662,M79,In-Store,Normal
T77,44199,490,M78,In-Store,Normal
T78,26130,252,M80,Mobile,Normal
T79,154379,279,M60,Mobile,Normal
T80,116867,529,M27,Mobile,Normal
T81,36564,724,M10,Mobile,Normal
T82,26612,27,M65,Mobile,Normal
